1	Замминистра образования Хабаровского края отстранен от должности на время проверки Сотруднику МЧС предъявили обвинение в халатности по делу о пожаре в хабаровском лагере.	обвинение в халатности по делу о пожаре в хабаровском лагере
0	Накануне ее приговорили к очередному штрафу, на этот раз за акции за честные выборы 10 и 31 августа – Таганский районный суд Москвы посчитал Соболь их организатором.	акция за честные выборы
0	В данном случае автомобилисты смогут получить свидетельство о регистрации транспортного средства и его номер непосредственно в автосалоне.	регистрация транспортного средства
1	Пока он находился в спецприемнике, на него завели дело об участии в «массовых беспорядках» и применении насилия к представителю власти.	применение насилия к представителю власти
1	Ущерб от лесных пожаров составил 14,5 миллиона рублей при плановом показателе 20,9 миллиона», - рассказал Марат Шарафутдинов. 	ущерб от лесных пожаров
0	Разговор о необходимости дополнительной материальной помощи пострадавшим от паводка жителям Приамурья зашел на рабочей встрече Путина с губернатором Амурской области Василием Орловым.	помощь пострадавшим от паводка жителям Приамурья
0	В 2019 году на приобретение специализированной техники для охраны лесов от пожаров и их патрулирования было выделено 79,2 млн рублей.	охрана лесов от пожаров
0	По мнению следствия, 27 июля на акции за допуск независимых кандидатов на выборы в Мосгордуму Раджабов бросил пустую пластиковую бутылку — и этим действием создал угрозу применения насилия к трем полицейским (ч. 1 ст. 318 УК).	акция за допуск независимых кандидатов на выборы в Мосгордуму
0	Суд в Югре продлил арест двум подозреваемым в связях с ИГ.	арест двух подозреваемых
0	Организаторы пытались согласовать массовый пикет, но префектура Центрального административного округа Москвы отказала им, не предложил альтернативной площадки.	Префектура Центрального административного округа Москвы
0	проведении пикетов
0	требований о прекращении противоправных действий
0	социально-педагогические услуги детям с нарушениями в развитии
0	воспрепятствование деятельности медицинских работников
0	Договор о ракетах средней и меньшей дальности
0	обесценивание национальной валюты
0	использование воздушного пространства РФ
0	марш феминисток 
0	снижение ключевой ставки
0	свидетельства убийств советских и польских граждан
0	новый тип баллистических ракет малой дальности
0	последствия новых санкций США против РФ
0	обыск в квартире Дмитрия Гудкова
0	конкурс по поеданию блинов
0	акцию в защиту прав женщин
0	закон о декриминализации побоев в семье
0	выступление экс-спецпрокурора Мюллера в Конгрессе США по вмешательству РФ в выборы
0	ситуация с поставками сырья
0	уголовного дела об умышленном загрязнении нефти 
0	встречах президента с главными редакторами ведущих российских СМИ
0	вклад в развитие отечественной журналистики
0	сообщении на сайте президента
0	преступность в сфере информационных технологий
0	вопрос об отставке главы РКС
0	закон о суверенном интернете
0	закон об изоляции рунета
0	поставок загрязненной нефти 
0	ревизии нефтеперерабатывающих заводов 
0	налоговым маневром России
0	главными редакторами ведущих российских СМИ
0	разгон митинга в Тбилиси
0	предложения “Назпрома” по газовому контракту
0	перспектива союзных отношений с Россией
0	передача Киеву кораблей
0	возврат Россией кораблей
0	отказ от претензий к РФ
0	сокращение времени продажи алкоголя
0	структура управления компанией
0	поездка Путина на “нормандский” формат
0	изменения в управлении “Яндексом”
0	намерение построить мост через Лену
0	предложение Москвы по ядерному вооружению
0	прямые выборы мэра
0	создании совместного предприятия
0	схема продажи красивых госномеров
0	(назвал) лучших работодателей России
0	(рассказал) об обследовании Трампа в госпитале
0	санкции в отношении иранского ядерного объекта в Фордо
0	прототип новых плацкартных вагонов 
0	породненные города
0	режим работы станций московского метро
0	солярка из затонувшего дебаркадера
0	разгона митинга оппозиции в Тбилиси
0	разгона акции протеста в Тбилиси
0	поездку на линию разграничения в Донбассе
0	главных достижениях киностудии за год
0	соглашение о торговле с США
0	поджог российского патруля в Сирии
0	строительство израильских поселений на Западном берегу 
0	нарушением международного права
0	заявление об отставке
0	обвиняемым в теракте в метро Петербурга
0	доступ приставов к кредитным историям
0	(по) делу о стрельбе в колледже
0	выборы ректора 
0	выборы в парламент Белоруссии
0	законопроект об иностранном владении «значимыми сайтами»
0	(пожаловались на) штрафы из-за гиперссылок на сайты с матом
0	заседании Совета министров союзного государства
0	процессы над фигурантами «московского дела»
0	в возбуждении уголовного дела
0	редактор агентства "Интерфакс"
0	компенсации за задержание кораблей в Черном море
0	подходы к борьбе с лесными пожарами
0	свидетелей по делу о беспорядках
